Make,Model,Year,Total,Pass,Pass %,Fail,Fail %,area1,area2,area3,area4,area5,area6,area7,area8,area9,area10,area11,area12,area13,area14,area15,area16,area17,area18,area19,area20,area21,area22,area23,area24,area25,area26,Incomplete,Incomplete %
ABARTH,595.00,2013.00,1.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AC,OTHER,2006.00,1.00,0.00,0.00,1.00,100.00,1.00,100.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00,0.00,0.00,1.00,100.00,1.00,100.00,1.00,100.00,1.00,100.00,1.00,100.00,0.00,0.00,0.00,0.00
ALFA ROMEO,145.00,1998.00,2.00,1.00,50.00,1.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,50.00,0.00,0.00,0.00,0.00,1.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00
ALFA ROMEO,145.00,1999.00,2.00,1.00,50.00,1.00,50.00,1.00,50.00,0.00,0.00,1.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALFA ROMEO,145.00,2000.00,2.00,0.00,0.00,2.00,100.00,1.00,50.00,0.00,0.00,0.00,0.00,1.00,50.00,0.00,0.00,0.00,0.00,1.00,50.00,0.00,0.00,0.00,0.00,1.00,50.00,1.00,50.00,1.00,50.00,0.00,0.00,0.00,0.00
ALFA ROMEO,146.00,1997.00,2.00,0.00,0.00,2.00,100.00,1.00,50.00,0.00,0.00,1.00,50.00,0.00,0.00,1.00,50.00,0.00,0.00,0.00,0.00,1.00,50.00,1.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALFA ROMEO,146.00,1998.00,3.00,0.00,0.00,3.00,100.00,2.00,66.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,33.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALFA ROMEO,146.00,1999.00,1.00,0.00,0.00,1.00,100.00,1.00,100.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00
ALFA ROMEO,146.00,2000.00,4.00,1.00,25.00,3.00,75.00,0.00,0.00,1.00,25.00,1.00,25.00,1.00,25.00,2.00,50.00,0.00,0.00,0.00,0.00,2.00,50.00,0.00,0.00,0.00,0.00,1.00,25.00,2.00,50.00,0.00,0.00,0.00,0.00
ALFA ROMEO,147.00,2001.00,10.00,4.00,40.00,6.00,60.00,3.00,30.00,3.00,30.00,3.00,30.00,1.00,10.00,2.00,20.00,0.00,0.00,0.00,0.00,3.00,30.00,0.00,0.00,1.00,10.00,1.00,10.00,1.00,10.00,0.00,0.00,0.00,0.00
ALFA ROMEO,147.00,2002.00,33.00,10.00,30.30,23.00,69.70,5.00,15.20,8.00,24.20,8.00,24.20,3.00,9.10,3.00,9.10,4.00,12.10,5.00,15.20,8.00,24.20,0.00,0.00,2.00,6.10,6.00,18.20,0.00,0.00,0.00,0.00,0.00,0.00
ALFA ROMEO,147.00,2003.00,35.00,10.00,28.60,25.00,71.40,7.00,20.00,7.00,20.00,10.00,28.60,2.00,5.70,4.00,11.40,8.00,22.90,5.00,14.30,8.00,22.90,2.00,5.70,5.00,14.30,3.00,8.60,2.00,5.70,0.00,0.00,0.00,0.00
ALFA ROMEO,147.00,2004.00,32.00,11.00,34.40,21.00,65.60,5.00,15.60,9.00,28.10,6.00,18.80,3.00,9.40,4.00,12.50,3.00,9.40,4.00,12.50,5.00,15.60,1.00,3.10,6.00,18.80,1.00,3.10,0.00,0.00,1.00,3.10,0.00,0.00
ALFA ROMEO,147.00,2005.00,65.00,26.00,40.00,39.00,60.00,14.00,21.50,13.00,20.00,18.00,27.70,6.00,9.20,11.00,16.90,5.00,7.70,3.00,4.60,19.00,29.20,4.00,6.20,8.00,12.30,5.00,7.70,0.00,0.00,2.00,3.10,0.00,0.00
ALFA ROMEO,147.00,2006.00,76.00,19.00,25.00,57.00,75.00,19.00,25.00,14.00,18.40,23.00,30.30,9.00,11.80,11.00,14.50,4.00,5.30,6.00,7.90,19.00,25.00,7.00,9.20,15.00,19.70,11.00,14.50,2.00,2.60,0.00,0.00,0.00,0.00
ALFA ROMEO,147.00,2007.00,69.00,31.00,44.90,38.00,55.10,14.00,20.30,9.00,13.00,20.00,29.00,6.00,8.70,8.00,11.60,5.00,7.20,4.00,5.80,20.00,29.00,1.00,1.40,6.00,8.70,9.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00
ALFA ROMEO,147.00,2008.00,49.00,17.00,34.70,32.00,65.30,10.00,20.40,2.00,4.10,17.00,34.70,3.00,6.10,7.00,14.30,5.00,10.20,2.00,4.10,17.00,34.70,1.00,2.00,4.00,8.20,5.00,10.20,1.00,2.00,0.00,0.00,0.00,0.00
ALFA ROMEO,147.00,2010.00,17.00,10.00,58.80,7.00,41.20,2.00,11.80,2.00,11.80,2.00,11.80,1.00,5.90,0.00,0.00,0.00,0.00,0.00,0.00,3.00,17.60,0.00,0.00,2.00,11.80,2.00,11.80,4.00,23.50,0.00,0.00,0.00,0.00
ALFA ROMEO,155.00,1994.00,3.00,0.00,0.00,3.00,100.00,1.00,33.30,2.00,66.70,1.00,33.30,0.00,0.00,1.00,33.30,0.00,0.00,1.00,33.30,1.00,33.30,0.00,0.00,2.00,66.70,1.00,33.30,1.00,33.30,0.00,0.00,0.00,0.00
ALFA ROMEO,155.00,1995.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALFA ROMEO,155.00,1997.00,4.00,2.00,50.00,2.00,50.00,1.00,25.00,1.00,25.00,1.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,25.00,0.00,0.00,0.00,0.00,1.00,25.00,1.00,25.00,0.00,0.00,0.00,0.00
ALFA ROMEO,156.00,1998.00,9.00,1.00,11.10,8.00,88.90,1.00,11.10,1.00,11.10,5.00,55.60,2.00,22.20,1.00,11.10,1.00,11.10,4.00,44.40,4.00,44.40,2.00,22.20,1.00,11.10,2.00,22.20,0.00,0.00,1.00,11.10,0.00,0.00
ALFA ROMEO,156.00,1999.00,13.00,3.00,23.10,10.00,76.90,3.00,23.10,4.00,30.80,4.00,30.80,4.00,30.80,1.00,7.70,2.00,15.40,1.00,7.70,4.00,30.80,0.00,0.00,1.00,7.70,4.00,30.80,1.00,7.70,0.00,0.00,0.00,0.00
ALFA ROMEO,156.00,2000.00,29.00,12.00,41.40,17.00,58.60,4.00,13.80,4.00,13.80,8.00,27.60,3.00,10.30,0.00,0.00,2.00,6.90,5.00,17.20,8.00,27.60,1.00,3.40,0.00,0.00,3.00,10.30,3.00,10.30,0.00,0.00,0.00,0.00
ALFA ROMEO,156.00,2001.00,45.00,16.00,35.60,29.00,64.40,5.00,11.10,14.00,31.10,14.00,31.10,9.00,20.00,5.00,11.10,3.00,6.70,8.00,17.80,14.00,31.10,2.00,4.40,3.00,6.70,10.00,22.20,2.00,4.40,0.00,0.00,0.00,0.00
ALFA ROMEO,156.00,2002.00,42.00,9.00,21.40,33.00,78.60,5.00,11.90,16.00,38.10,11.00,26.20,8.00,19.00,7.00,16.70,3.00,7.10,4.00,9.50,11.00,26.20,0.00,0.00,7.00,16.70,7.00,16.70,2.00,4.80,0.00,0.00,0.00,0.00
ALFA ROMEO,156.00,2003.00,86.00,22.00,25.60,64.00,74.40,11.00,12.80,21.00,24.40,25.00,29.10,12.00,14.00,19.00,22.10,10.00,11.60,10.00,11.60,24.00,27.90,4.00,4.70,14.00,16.30,15.00,17.40,6.00,7.00,1.00,1.20,0.00,0.00
ALFA ROMEO,156.00,2004.00,136.00,36.00,26.50,100.00,73.50,24.00,17.60,42.00,30.90,53.00,39.00,23.00,16.90,20.00,14.70,8.00,5.90,13.00,9.60,53.00,39.00,11.00,8.10,26.00,19.10,20.00,14.70,6.00,4.40,0.00,0.00,0.00,0.00
ALFA ROMEO,156.00,2005.00,82.00,23.00,28.00,59.00,72.00,8.00,9.80,23.00,28.00,24.00,29.30,9.00,11.00,21.00,25.60,4.00,4.90,7.00,8.50,20.00,24.40,3.00,3.70,18.00,22.00,12.00,14.60,7.00,8.50,0.00,0.00,0.00,0.00
ALFA ROMEO,156.00,2006.00,8.00,1.00,12.50,7.00,87.50,2.00,25.00,3.00,37.50,3.00,37.50,2.00,25.00,2.00,25.00,1.00,12.50,0.00,0.00,3.00,37.50,0.00,0.00,5.00,62.50,1.00,12.50,3.00,37.50,0.00,0.00,0.00,0.00
ALFA ROMEO,156.00,2007.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00
ALFA ROMEO,159.00,2006.00,136.00,44.00,32.40,92.00,67.60,11.00,8.10,33.00,24.30,46.00,33.80,7.00,5.10,23.00,16.90,10.00,7.40,10.00,7.40,38.00,27.90,16.00,11.80,8.00,5.90,16.00,11.80,5.00,3.70,4.00,2.90,0.00,0.00
